housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Новостройка;Московский;2;Нет;62,4;24;22,6;1;25;Раздельный;0;0;Да;Без отделки;2.7;Буревестник;16;1;1;Открытая;Кирпичный;Нет;9 172 800;Долевое участие (214-ФЗ);2029;Да;Да
Новостройка;Нижегородский;1;Нет;33,5;10,35;15,5;8;13;Совмещенный;0;0;Да;Без отделки;2.7;Нет;;1;1;Подземная;Монолитно-кирпичный;Нет;7 149 999;Долевое участие (214-ФЗ);2027;Да;Да
Новостройка;Канавинский;3;Нет;62,2;29,2;9,9;10;25;Раздельный;1;0;Да;Предчистовая;3;Чкаловская;1;1;1;Подземная;Монолитно-кирпичный;Нет;11 907 900;Долевое участие (214-ФЗ);2027;Да;Да
Новостройка;Нижегородский;4;Нет;132,1;67,2;31,5;2;9;Раздельный;0;0;Да;Без отделки;3;Горьковская;8;1;1;Подземная;Монолитный;Нет;36 988 000;Долевое участие (214-ФЗ);2028;Да;Да
Новостройка;Нижегородский;3;Нет;76,6;44,3;15,5;13;24;Раздельный;0;0;Да;Без отделки;2.8;Нет;;1;1;Подземная;Панельный;Нет;13 095 180;Долевое участие (214-ФЗ);2027;Да;Да
Новостройка;Нижегородский;2;Нет;64,6;29,5;17,7;7;14;Совмещенный;0;0;Да;Предчистовая;3 ;Нет;;1;1;Подземная, открытая;Монолитный;Нет;15 383 069;Долевое участие (214-ФЗ);2028;Да;Да
Новостройка;Нижегородский;1;Да;28,5;12,6;6,97;22;32;Совмещенный;0;0;Да;Без отделки;2.6;Нет;;1;1;Подземная;Монолитный;Нет;9 279 999;Долевое участие (214-ФЗ);2026;Да;Да
Новостройка;Сормовский;3;Нет;82,5;38,55;22,5;2;12;Раздельный;1;0;Да;Без отделки;2.8;Буревестник;27;1;1;Подземная, открытая;Кирпичный;Нет;16 800 000;Долевое участие (214-ФЗ);2026;Да;Да
Новостройка;Автозаводский;2;Нет;64,7;24,4;22,9;5;8;Раздельный;0;2;Да;Предчистовая;3;Парк культуры;21;1;1;Открытая;Монолитно-кирпичный;Нет;11 255 130;Долевое участие (214-ФЗ);2026;Да;Да
Новостройка;Сормовский;1;Нет;38,7;13,5;15,3;10;19;Совмещенный;0;0;Да;Без отделки;2.8;Нет;;1;1;Подземная;Монолитный;Нет;6 250 050;Долевое участие (214-ФЗ);2028;Да;Да
